component, link, price (usd)
XIAO RP2040, https://www.aliexpress.com/item/1005003682505451.html?spm=a2g0o.cart.0.0.6eaf38da3X1JOq&mp=1,12.11
DHT11 humidity sensor, https://www.aliexpress.com/item/1005007728845619.html?spm=a2g0o.productlist.main.3.66e539a83Jf1DZ&algo_pvid=8db1456c-b6d6-4879-87b3-baa8e315f316&pdp_ext_f=%7B%22order%22%3A%22390%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A, 5.02
OLED display, https://www.aliexpress.com/item/1005006262908701.html?src=google&snpsid=1&snps=y&snpsid=1&src=google&albch=shopping&acnt=742-864-1166&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&&albagn=888888&&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005006262908701&ds_e_product_merchant_id=5551326180&ds_e_product_country=GB&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=22435797343&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_campaignid=22432265180, 3.52
RTC module, https://www.aliexpress.com/item/1005008352022059.html?src=google&src=google&albch=shopping&acnt=494-037-6276&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&&albagn=888888&&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005008352022059&ds_e_product_merchant_id=109250268&ds_e_product_country=GB&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=17859500389&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_campaignid=17190468917, 4.83
BMP180 air pressure sensor, https://www.aliexpress.com/item/1005008474684719.html?src=google&src=google&albch=shopping&acnt=494-037-6276&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&&albagn=888888&&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005008474684719&ds_e_product_merchant_id=5397493688&ds_e_product_country=GB&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=17859500389&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_campaignid=17190468917, 4.03
Rotary encoder, https://www.aliexpress.com/item/1975155185.html?src=google&src=google&albch=shopping&acnt=494-037-6276&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&&albagn=888888&&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1975155185&ds_e_product_merchant_id=106462169&ds_e_product_country=GB&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=17859500389&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_campaignid=17190468917, 3.62
microsd card reader, https://www.aliexpress.com/item/1005006248599786.html?src=google&snpsid=1&snps=y&snpsid=1&src=google&albch=shopping&acnt=742-864-1166&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&&albagn=888888&&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005006248599786&ds_e_product_merchant_id=5551326180&ds_e_product_country=GB&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=22435797343&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_campaignid=22432265180, 2.39
RTC battery, https://www.aliexpress.com/item/1005008363279450.html?src=google&src=google&albch=shopping&acnt=494-037-6276&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&&albagn=888888&&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005008363279450&ds_e_product_merchant_id=5445784632&ds_e_product_country=GB&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=17859500389&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_campaignid=17190468917, 5.9
Micro SD card, https://www.aliexpress.com/item/1005007118463161.html?src=google&snpsid=1&snps=y&snpsid=1&src=google&albch=shopping&acnt=742-864-1166&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&&albagn=888888&&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005007118463161&ds_e_product_merchant_id=5551326180&ds_e_product_country=GB&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=22435797343&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_campaignid=22432265180, 1.99
PCB, JLCPCB, 1.5
Case, My 3D printer, 0

TOTAL, TOTAL, 44.91
